Tree	Tree_taxa	RefTree_taxa	Common_taxa	R-F	R-F_toYuleAvg	R-F_toUnifAvg
503	64	64	64	60.5000	0.9953	0.9937
504	64	64	64	60.5000	0.9953	0.9937
505	64	64	64	60.5000	0.9953	0.9937
506	64	64	64	60.5000	0.9953	0.9937
507	64	64	64	60.5000	0.9953	0.9937
508	64	64	64	60.5000	0.9953	0.9937
509	64	64	64	60.5000	0.9953	0.9937
510	64	64	64	58.5000	0.9624	0.9609
511	64	64	64	59.5000	0.9789	0.9773
512	64	64	64	60.5000	0.9953	0.9937
513	64	64	64	60.5000	0.9953	0.9937
514	64	64	64	60.5000	0.9953	0.9937
515	64	64	64	60.5000	0.9953	0.9937
516	64	64	64	60.5000	0.9953	0.9937
517	64	64	64	60.5000	0.9953	0.9937
518	64	64	64	60.5000	0.9953	0.9937
519	64	64	64	58.5000	0.9624	0.9609
520	64	64	64	60.5000	0.9953	0.9937
521	64	64	64	60.5000	0.9953	0.9937
522	64	64	64	60.5000	0.9953	0.9937
523	64	64	64	60.5000	0.9953	0.9937
524	64	64	64	60.5000	0.9953	0.9937
525	64	64	64	60.5000	0.9953	0.9937
526	64	64	64	60.5000	0.9953	0.9937
527	64	64	64	60.5000	0.9953	0.9937
528	64	64	64	60.5000	0.9953	0.9937
529	64	64	64	60.5000	0.9953	0.9937
530	64	64	64	59.5000	0.9789	0.9773
531	64	64	64	60.5000	0.9953	0.9937
532	64	64	64	60.5000	0.9953	0.9937
533	64	64	64	60.5000	0.9953	0.9937
534	64	64	64	60.5000	0.9953	0.9937
535	64	64	64	60.5000	0.9953	0.9937
536	64	64	64	60.5000	0.9953	0.9937
537	64	64	64	60.5000	0.9953	0.9937
538	64	64	64	60.5000	0.9953	0.9937
539	64	64	64	60.5000	0.9953	0.9937
540	64	64	64	60.5000	0.9953	0.9937
541	64	64	64	60.5000	0.9953	0.9937
542	64	64	64	59.5000	0.9789	0.9773
543	64	64	64	60.5000	0.9953	0.9937
544	64	64	64	58.5000	0.9624	0.9609
545	64	64	64	59.5000	0.9789	0.9773
546	64	64	64	59.5000	0.9789	0.9773
547	64	64	64	60.5000	0.9953	0.9937
548	64	64	64	60.5000	0.9953	0.9937
549	64	64	64	59.5000	0.9789	0.9773
550	64	64	64	60.5000	0.9953	0.9937
551	64	64	64	60.5000	0.9953	0.9937
552	64	64	64	60.5000	0.9953	0.9937
553	64	64	64	60.5000	0.9953	0.9937
554	64	64	64	60.5000	0.9953	0.9937
555	64	64	64	60.5000	0.9953	0.9937
556	64	64	64	60.5000	0.9953	0.9937
557	64	64	64	60.5000	0.9953	0.9937
558	64	64	64	59.5000	0.9789	0.9773
559	64	64	64	60.5000	0.9953	0.9937
560	64	64	64	59.5000	0.9789	0.9773
561	64	64	64	60.5000	0.9953	0.9937
562	64	64	64	59.5000	0.9789	0.9773
563	64	64	64	60.5000	0.9953	0.9937
564	64	64	64	60.5000	0.9953	0.9937
565	64	64	64	60.5000	0.9953	0.9937
566	64	64	64	60.5000	0.9953	0.9937
567	64	64	64	60.5000	0.9953	0.9937
568	64	64	64	60.5000	0.9953	0.9937
569	64	64	64	60.5000	0.9953	0.9937
570	64	64	64	60.5000	0.9953	0.9937
571	64	64	64	60.5000	0.9953	0.9937
572	64	64	64	60.5000	0.9953	0.9937
573	64	64	64	60.5000	0.9953	0.9937
574	64	64	64	60.5000	0.9953	0.9937
575	64	64	64	60.5000	0.9953	0.9937
576	64	64	64	59.5000	0.9789	0.9773
577	64	64	64	59.5000	0.9789	0.9773
578	64	64	64	58.5000	0.9624	0.9609
579	64	64	64	60.5000	0.9953	0.9937
580	64	64	64	60.5000	0.9953	0.9937
581	64	64	64	59.5000	0.9789	0.9773
582	64	64	64	60.5000	0.9953	0.9937
