Tree	Tree_taxa	RefTree_taxa	Common_taxa	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
284	64	64	64	551.0000	1.1077	0.7693
285	64	64	64	593.0000	1.1921	0.8280
286	64	64	64	529.0000	1.0635	0.7386
287	64	64	64	580.0000	1.1660	0.8098
288	64	64	64	514.0000	1.0333	0.7177
289	64	64	64	540.0000	1.0856	0.7540
290	64	64	64	501.0000	1.0072	0.6995
291	64	64	64	545.0000	1.0956	0.7610
292	64	64	64	543.0000	1.0916	0.7582
293	64	64	64	570.0000	1.1459	0.7959
294	64	64	64	541.0000	1.0876	0.7554
295	64	64	64	470.0000	0.9449	0.6563
296	64	64	64	512.0000	1.0293	0.7149
297	64	64	64	555.0000	1.1157	0.7749
298	64	64	64	522.0000	1.0494	0.7289
299	64	64	64	533.0000	1.0715	0.7442
300	64	64	64	523.0000	1.0514	0.7303
301	64	64	64	563.0000	1.1318	0.7861
302	64	64	64	565.0000	1.1358	0.7889
303	64	64	64	511.0000	1.0273	0.7135
304	64	64	64	552.0000	1.1097	0.7707
305	64	64	64	537.0000	1.0795	0.7498
306	64	64	64	546.0000	1.0976	0.7624
307	64	64	64	547.0000	1.0996	0.7638
308	64	64	64	535.0000	1.0755	0.7470
309	64	64	64	546.0000	1.0976	0.7624
310	64	64	64	550.0000	1.1057	0.7680
311	64	64	64	562.0000	1.1298	0.7847
312	64	64	64	562.0000	1.1298	0.7847
313	64	64	64	551.0000	1.1077	0.7693
314	64	64	64	545.0000	1.0956	0.7610
315	64	64	64	601.0000	1.2082	0.8392
316	64	64	64	536.0000	1.0775	0.7484
317	64	64	64	552.0000	1.1097	0.7707
318	64	64	64	566.0000	1.1378	0.7903
319	64	64	64	510.0000	1.0253	0.7121
320	64	64	64	487.0000	0.9790	0.6800
321	64	64	64	541.0000	1.0876	0.7554
322	64	64	64	580.0000	1.1660	0.8098
323	64	64	64	523.0000	1.0514	0.7303
324	64	64	64	513.0000	1.0313	0.7163
325	64	64	64	531.0000	1.0675	0.7414
326	64	64	64	527.0000	1.0594	0.7358
327	64	64	64	557.0000	1.1197	0.7777
328	64	64	64	547.0000	1.0996	0.7638
329	64	64	64	556.0000	1.1177	0.7763
330	64	64	64	568.0000	1.1419	0.7931
331	64	64	64	574.0000	1.1539	0.8015
332	64	64	64	568.0000	1.1419	0.7931
333	64	64	64	545.0000	1.0956	0.7610
334	64	64	64	496.0000	0.9971	0.6926
335	64	64	64	558.0000	1.1218	0.7791
336	64	64	64	533.0000	1.0715	0.7442
337	64	64	64	526.0000	1.0574	0.7344
338	64	64	64	509.0000	1.0233	0.7107
339	64	64	64	569.0000	1.1439	0.7945
340	64	64	64	533.0000	1.0715	0.7442
341	64	64	64	549.0000	1.1037	0.7666
342	64	64	64	502.0000	1.0092	0.7009
343	64	64	64	576.0000	1.1579	0.8043
344	64	64	64	549.0000	1.1037	0.7666
345	64	64	64	529.0000	1.0635	0.7386
346	64	64	64	553.0000	1.1117	0.7721
347	64	64	64	526.0000	1.0574	0.7344
348	64	64	64	524.0000	1.0534	0.7316
349	64	64	64	531.0000	1.0675	0.7414
350	64	64	64	558.0000	1.1218	0.7791
351	64	64	64	514.0000	1.0333	0.7177
352	64	64	64	533.0000	1.0715	0.7442
353	64	64	64	562.0000	1.1298	0.7847
354	64	64	64	539.0000	1.0836	0.7526
355	64	64	64	517.0000	1.0393	0.7219
356	64	64	64	544.0000	1.0936	0.7596
357	64	64	64	575.0000	1.1559	0.8029
358	64	64	64	551.0000	1.1077	0.7693
359	64	64	64	541.0000	1.0876	0.7554
360	64	64	64	537.0000	1.0795	0.7498
361	64	64	64	530.0000	1.0655	0.7400
362	64	64	64	529.0000	1.0635	0.7386
363	64	64	64	534.0000	1.0735	0.7456
364	64	64	64	551.0000	1.1077	0.7693
365	64	64	64	527.0000	1.0594	0.7358
366	64	64	64	550.0000	1.1057	0.7680
367	64	64	64	535.0000	1.0755	0.7470
368	64	64	64	473.0000	0.9509	0.6604
369	64	64	64	554.0000	1.1137	0.7735
370	64	64	64	565.0000	1.1358	0.7889
371	64	64	64	562.0000	1.1298	0.7847
372	64	64	64	493.0000	0.9911	0.6884
373	64	64	64	543.0000	1.0916	0.7582
374	64	64	64	511.0000	1.0273	0.7135
375	64	64	64	543.0000	1.0916	0.7582
376	64	64	64	556.0000	1.1177	0.7763
377	64	64	64	549.0000	1.1037	0.7666
378	64	64	64	497.0000	0.9991	0.6939
379	64	64	64	548.0000	1.1017	0.7652
380	64	64	64	541.0000	1.0876	0.7554
381	64	64	64	566.0000	1.1378	0.7903
382	64	64	64	534.0000	1.0735	0.7456
383	64	64	64	529.0000	1.0635	0.7386
384	64	64	64	497.0000	0.9991	0.6939
385	64	64	64	547.0000	1.0996	0.7638
386	64	64	64	575.0000	1.1559	0.8029
387	64	64	64	521.0000	1.0474	0.7275
388	64	64	64	552.0000	1.1097	0.7707
389	64	64	64	512.0000	1.0293	0.7149
390	64	64	64	548.0000	1.1017	0.7652
391	64	64	64	552.0000	1.1097	0.7707
392	64	64	64	531.0000	1.0675	0.7414
393	64	64	64	464.0000	0.9328	0.6479
394	64	64	64	531.0000	1.0675	0.7414
395	64	64	64	537.0000	1.0795	0.7498
396	64	64	64	559.0000	1.1238	0.7805
397	64	64	64	524.0000	1.0534	0.7316
398	64	64	64	556.0000	1.1177	0.7763
399	64	64	64	558.0000	1.1218	0.7791
400	64	64	64	494.0000	0.9931	0.6898
401	64	64	64	483.0000	0.9710	0.6744
402	64	64	64	498.0000	1.0011	0.6953
403	64	64	64	555.0000	1.1157	0.7749
404	64	64	64	526.0000	1.0574	0.7344
405	64	64	64	544.0000	1.0936	0.7596
406	64	64	64	539.0000	1.0836	0.7526
407	64	64	64	542.0000	1.0896	0.7568
408	64	64	64	561.0000	1.1278	0.7833
409	64	64	64	545.0000	1.0956	0.7610
410	64	64	64	549.0000	1.1037	0.7666
411	64	64	64	539.0000	1.0836	0.7526
412	64	64	64	528.0000	1.0614	0.7372
413	64	64	64	533.0000	1.0715	0.7442
414	64	64	64	555.0000	1.1157	0.7749
415	64	64	64	569.0000	1.1439	0.7945
416	64	64	64	534.0000	1.0735	0.7456
417	64	64	64	505.0000	1.0152	0.7051
418	64	64	64	485.0000	0.9750	0.6772
419	64	64	64	552.0000	1.1097	0.7707
420	64	64	64	550.0000	1.1057	0.7680
421	64	64	64	534.0000	1.0735	0.7456
422	64	64	64	583.0000	1.1720	0.8140
423	64	64	64	563.0000	1.1318	0.7861
424	64	64	64	516.0000	1.0373	0.7205
425	64	64	64	566.0000	1.1378	0.7903
426	64	64	64	536.0000	1.0775	0.7484
427	64	64	64	521.0000	1.0474	0.7275
428	64	64	64	551.0000	1.1077	0.7693
429	64	64	64	552.0000	1.1097	0.7707
430	64	64	64	534.0000	1.0735	0.7456
431	64	64	64	524.0000	1.0534	0.7316
432	64	64	64	557.0000	1.1197	0.7777
433	64	64	64	588.0000	1.1821	0.8210
434	64	64	64	521.0000	1.0474	0.7275
435	64	64	64	526.0000	1.0574	0.7344
436	64	64	64	564.0000	1.1338	0.7875
